"Species","Temp","mu_max"
"Arthrobacter aurescens",0,0.0145358646882465
"Arthrobacter aurescens",20,0.127168412394692
"Arthrobacter aurescens",30,0.158607904278012
"Arthrobacter aurescens",37,0.0451554390762279
"Arthrobacter aurescens",7,0.0653203079127368
"Arthrobacter citreus",0,0.0592187183158863
"Arthrobacter citreus",20,0.0927169827007426
"Arthrobacter citreus",30,0.151407775125775
"Arthrobacter citreus",37,0.162975937728229
"Arthrobacter citreus",7,0.0606285317528474
"Arthrobacter globiformis",0,8.67415125964105e-05
"Arthrobacter globiformis",20,0.0786139638301259
"Arthrobacter globiformis",30,0.0971345668226105
"Arthrobacter globiformis",37,0.189076484063252
"Arthrobacter globiformis",7,0.0173194410436639
"Arthrobacter simplex",0,7.13296712142925e-05
"Arthrobacter simplex",20,0.073798958957297
"Arthrobacter simplex",30,0.084845442591516
"Arthrobacter simplex",37,0.11778172867489
"Arthrobacter simplex",7,0.0321447879049367
"Arthrobacter sp. 62",0,0.0188918375878103
"Arthrobacter sp. 62",20,0.124097074465213
"Arthrobacter sp. 62",30,0.00177910649068296
"Arthrobacter sp. 62",37,6.35180405317429e-05
"Arthrobacter sp. 62",7,0.0435106648663654
"Arthrobacter sp. 77",0,0.0176175992957224
"Arthrobacter sp. 77",20,0.200128851344466
"Arthrobacter sp. 77",30,0.134522730902947
"Arthrobacter sp. 77",37,0.000497784774353786
"Arthrobacter sp. 77",7,0.0399272549903683
"Arthrobacter sp. 88",0,0.0207718734577297
"Arthrobacter sp. 88",20,0.145470866986974
"Arthrobacter sp. 88",30,0.185507603499826
"Arthrobacter sp. 88",37,1.3346863094146e-05
"Arthrobacter sp. 88",7,0.0380160127194891
